Key    ,Frequency,Lower Acceptance,Upper Acceptance,Lower Bound,Upper Bound
C0     ,16.35    ,null            ,0.485           ,null       ,16.835
C1     ,32.7     ,0.915           ,0.975           ,31.785     ,33.675
C2     ,65.41    ,1.835           ,1.945           ,63.575     ,67.355
C3     ,130.81   ,3.67            ,3.89            ,127.14     ,134.7
C4     ,261.63   ,7.345           ,7.775           ,254.285    ,269.405
C5     ,523.25   ,14.685          ,15.56           ,508.565    ,538.81
C6     ,1046.5   ,29.365          ,31.115          ,1017.135   ,1077.615
C7     ,2093     ,58.735          ,62.23           ,2034.265   ,2155.23
C8     ,4186.01  ,117.47          ,124.455         ,4068.54    ,4310.465
C#0/Db0,17.32    ,0.485           ,0.515           ,16.835     ,17.835
C#1/Db1,34.65    ,0.975           ,1.03            ,33.675     ,35.68
C#2/Db2,69.3     ,1.945           ,2.06            ,67.355     ,71.36
C#3/Db3,138.59   ,3.89            ,4.12            ,134.7      ,142.71
C#4/Db4,277.18   ,7.775           ,8.24            ,269.405    ,285.42
C#5/Db5,554.37   ,15.56           ,16.48           ,538.81     ,570.85
C#6/Db6,1108.73  ,31.115          ,32.965          ,1077.615   ,1141.695
C#7/Db7,2217.46  ,62.23           ,65.93           ,2155.23    ,2283.39
C#8/Db8,4434.92  ,124.455         ,131.855         ,4310.465   ,4566.775
D0     ,18.35    ,0.515           ,0.55            ,17.835     ,18.9
D1     ,36.71    ,1.03            ,1.09            ,35.68      ,37.8
D2     ,73.42    ,2.06            ,2.18            ,71.36      ,75.6
D3     ,146.83   ,4.12            ,4.365           ,142.71     ,151.195
D4     ,293.66   ,8.24            ,8.735           ,285.42     ,302.395
D5     ,587.33   ,16.48           ,17.46           ,570.85     ,604.79
D6     ,1174.66  ,32.965          ,34.925          ,1141.695   ,1209.585
D7     ,2349.32  ,65.93           ,69.85           ,2283.39    ,2419.17
D8     ,4698.63  ,131.855         ,139.7           ,4566.775   ,4838.33
D#0/Eb0,19.45    ,0.55            ,0.575           ,18.9       ,20.025
D#1/Eb1,38.89    ,1.09            ,1.155           ,37.8       ,40.045
D#2/Eb2,77.78    ,2.18            ,2.315           ,75.6       ,80.095
D#3/Eb3,155.56   ,4.365           ,4.625           ,151.195    ,160.185
D#4/Eb4,311.13   ,8.735           ,9.25            ,302.395    ,320.38
D#5/Eb5,622.25   ,17.46           ,18.5            ,604.79     ,640.75
D#6/Eb6,1244.51  ,34.925          ,37              ,1209.585   ,1281.51
D#7/Eb7,2489.02  ,69.85           ,74              ,2419.17    ,2563.02
D#8/Eb8,4978.03  ,139.7           ,148.005         ,4838.33    ,5126.035
E0     ,20.6     ,0.575           ,0.615           ,20.025     ,21.215
E1     ,41.2     ,1.155           ,1.225           ,40.045     ,42.425
E2     ,82.41    ,2.315           ,2.45            ,80.095     ,84.86
E3     ,164.81   ,4.625           ,4.9             ,160.185    ,169.71
E4     ,329.63   ,9.25            ,9.8             ,320.38     ,339.43
E5     ,659.25   ,18.5            ,19.605          ,640.75     ,678.855
E6     ,1318.51  ,37              ,39.2            ,1281.51    ,1357.71
E7     ,2637.02  ,74              ,78.405          ,2563.02    ,2715.425
E8     ,5274.04  ,148.005         ,156.805         ,5126.035   ,5430.845
F0     ,21.83    ,0.615           ,0.645           ,21.215     ,22.475
F1     ,43.65    ,1.225           ,1.3             ,42.425     ,44.95
F2     ,87.31    ,2.45            ,2.595           ,84.86      ,89.905
F3     ,174.61   ,4.9             ,5.195           ,169.71     ,179.805
F4     ,349.23   ,9.8             ,10.38           ,339.43     ,359.61
F5     ,698.46   ,19.605          ,20.765          ,678.855    ,719.225
F6     ,1396.91  ,39.2            ,41.535          ,1357.71    ,1438.445
F7     ,2793.83  ,78.405          ,83.065          ,2715.425   ,2876.895
F8     ,5587.65  ,156.805         ,166.13          ,5430.845   ,5753.78
F#0/Gb0,23.12    ,0.645           ,0.69            ,22.475     ,23.81
F#1/Gb1,46.25    ,1.3             ,1.375           ,44.95      ,47.625
F#2/Gb2,92.5     ,2.595           ,2.75            ,89.905     ,95.25
F#3/Gb3,185      ,5.195           ,5.5             ,179.805    ,190.5
F#4/Gb4,369.99   ,10.38           ,11.005          ,359.61     ,380.995
F#5/Gb5,739.99   ,20.765          ,22              ,719.225    ,761.99
F#6/Gb6,1479.98  ,41.535          ,44              ,1438.445   ,1523.98
F#7/Gb7,2959.96  ,83.065          ,88              ,2876.895   ,3047.96
F#8/Gb8,5919.91  ,166.13          ,176.01          ,5753.78    ,6095.92
G0     ,24.5     ,0.69            ,0.73            ,23.81      ,25.23
G1     ,49       ,1.375           ,1.455           ,47.625     ,50.455
G2     ,98       ,2.75            ,2.915           ,95.25      ,100.915
G3     ,196      ,5.5             ,5.825           ,190.5      ,201.825
